,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
157,75,99.20,79.66,91.56,85.46,99.33,81.88,95.50,85.93,98,100,90
158,100,88.36,90,98.89,92.96,32.54,90.62,85.48,94.97,97,100,97
159,100,86.33,91.61,95.22,100,94.22,96.88,92.44,89.97,100,93.20,86
160,100,94.03,93,65.28,100,97.08,100,88.22,90,100,97.20,77
161,100,95.25,90.85,100,98.87,100,100,91.32,94.06,100,97.20,88
162,100,100,100,100,100,91.25,96.88,97.90,100,99,100,99
163,0,98,92.24,77.11,100,67.84,93.75,99.40,96,94,100,94
164,100,95.91,100,100,100,100,96.88,99.44,90,100,100,97
165,100,100,93.25,95.04,98.87,100,95.09,99.44,98,99,97.20,96
166,100,0,20.06,0,0,0,0,0,0,0,0,
167,100,100,82.37,41.94,86.77,44.16,59.85,19,0,0,0,
168,100,84.50,91.03,50.44,100,99.03,87.68,19,54.98,98,51,59
169,100,100,93.70,90,100,100,100,83.72,99.97,90,100,99
170,71.67,100,99.60,95.56,100,100,86.88,87.48,100,94,97.20,86
171,100,100,0,98,100,100,0,89.14,80,100,100,89
172,43.33,91.97,71.65,95.78,96.67,77.36,69,82.40,96,100,64,82
173,100,87.98,94.44,94.30,100,80.49,100,94.33,88.97,95,100,94
174,100,93.30,87.54,53.06,100,86.89,96.88,100,92,100,100,82
175,100,99.47,87.79,100,96.67,96.41,83.96,82.56,78.71,100,96.11,96
176,100,88.36,97.20,95.93,100,98.91,87.28,76.24,95.39,100,100,89
177,100,89.57,100,100,100,99.10,100,83.03,76.71,98,0,59
178,100,95.25,95.24,100,99.26,99.33,100,88.70,92.84,95,100,90
179,100,99.73,98.77,100,98.87,100,95.17,0,93.62,99,0,80
180,100,100,97.81,96.67,100,100,96.88,100,98,99,97.20,89
181,100,97.50,100,100,100,99.40,85,100,92,100,98.91,87
182,100,100,94.13,100,100,97.98,100,88.63,85.71,100,100,85
